Código comarca,Comarca,2022.0,2021.0,2020.0,2019.0,2018.0,2017.0,2016.0,2015.0,2014.0,2013.0,2012.0,2011.0,2010.0,2009.0,2008.0,2007.0,2006.0,2005.0,2004.0
01009,Asparrena,12.24,12.24,12.24,12.24,12.24,13.36,26.52,26.52,26.52,26.5,25.6,25.6,25.6,25.6,26.53,26.53,28.55,28.55,0.0
20014,Asteasu,0.0,0.0,0.0,0.0,0.0,0.0,7.88,7.88,7.88,7.32,10.8,10.8,10.8,10.8,10.8,30.3,30.3,30.3,30.3
20903,Astigarraga,19.72,19.72,14.43,14.43,14.34,14.34,14.34,19.54,19.31,18.96,19.1,19.1,30.29,30.29,14.44,14.41,14.44,14.41,14.41
20015,Ataun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48091,Atxondo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48070,Aulesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01010,Ayala/Aiara,10.98,10.98,10.98,10.98,10.98,11.19,11.19,11.37,11.37,11.14,11.58,11.58,11.58,11.58,13.8,13.8,12.42,12.42,0.0
20017,Azkoitia,19.0,19.0,19.0,19.0,19.0,19.0,20.75,21.02,21.02,20.37,20.32,20.32,20.32,20.32,20.32,10.29,10.44,10.25,10.25
20018,Azpeitia,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,8.31,14.24,21.89,16.93,16.93,16.93,16.93,22.36,22.49,22.49,22.49
01049,Añana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48012,Bakio,51.34,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.25,62.85,62.87,62.87,62.87,62.81,62.87,62.87,68.27,74.3
20904,Baliarrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48090,Balmaseda,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.19,19.4,19.4,19.4,19.4,18.13,18.2,18.2,18.2,47.31
48013,Barakaldo,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.21,10.95,10.98,10.98,10.98,10.98,10.98,11.21,11.44,10.81
48014,Barrika,18.31,18.31,18.14,18.14,18.14,9.61,9.61,9.61,9.61,9.37,60.45,68.34,68.34,68.34,68.34,68.34,68.34,68.34,87.48
01013,Barrundia,8.44,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,9.09,9.19,10.55,10.55,10.55,10.55,10.55,10.52,10.53,10.53
48015,Basauri,1.37,1.37,5.4,5.4,5.25,5.25,6.81,6.85,6.85,6.7,9.44,9.44,9.44,9.51,9.51,11.6,13.78,14.26,25.0
01011,Baños de Ebro/Mañueta,15.05,15.05,15.05,15.05,15.05,15.05,15.05,14.98,15.05,14.09,12.09,12.09,12.32,12.56,13.2,13.2,16.99,16.99,16.99
20019,Beasain,13.88,13.88,13.88,13.88,13.88,13.88,13.88,14.26,14.26,14.44,14.59,14.59,14.59,14.66,14.66,6.19,6.19,6.19,6.55
48092,Bedia,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.73,6.79,22.99,22.99,22.99,22.99,22.99,23.26,23.62,23.62,23.62
20020,Beizama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20021,Belauntza,35.96,35.96,35.96,35.96,35.96,35.96,35.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48016,Berango,17.35,17.35,17.35,17.35,17.35,17.35,17.35,17.35,24.37,23.99,24.77,39.7,39.7,39.7,39.7,39.7,39.7,39.7,58.51
01014,Berantevilla,10.74,10.74,10.74,10.74,16.43,16.43,16.43,16.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20022,Berastegi,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.82,5.76,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20074,Bergara,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.48,5.29,5.29,5.29,5.42,5.42,5.42,5.42,5.42,5.42
48017,Bermeo,6.2,6.2,6.2,6.2,8.04,8.04,8.04,7.58,14.77,14.9,14.05,14.05,14.05,14.05,14.05,14.05,14.05,18.92,18.92
01016,Bernedo,15.43,15.43,15.43,15.43,14.04,14.04,14.04,14.04,14.04,14.36,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38,16.94
48018,Berriatua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89,14.89,14.89,14.89,14.89,14.89,15.18,15.38,51.69
48019,Berriz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,15.79,15.79,15.79,15.79,15.96,15.96,15.96,17.02
20023,Berrobi,23.08,23.08,23.08,23.08,23.08,23.08,23.08,30.0,25.81,26.37,32.43,32.43,32.43,32.43,32.43,13.75,13.75,13.75,13.75
20024,Bidania-Goiatz,9.09,9.09,9.09,8.89,8.89,8.89,8.89,15.38,15.38,15.65,14.71,14.71,39.5,39.5,39.5,39.5,39.5,39.5,39.5
