Indicadores municipales de sostenibilidad: Mujeres candidatas en elecciones municipales (% sobre total personas candidatas);;;;;;;;;;
"";;;;;;;;;;
Resumen de datos;;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995;1991
01027;Iruraiz-Gauna;50,00;46,43;42,86;35,71;42,86;32,14;31,43;17,86;14,29
01901;Iruña Oka/Iruña de Oca;47,27;45,45;45,45;34,85;27,27;29,03;28,00;19,23;20,63
48049;Ispaster;28,57;47,62;42,86;42,86;32,14;38,10;28,57;14,29;5,88
20047;Itsasondo;42,86;47,62;42,86;42,86;57,14;28,57;21,43;42,86;21,43
48910;Iurreta;45,45;52,73;50,00;47,27;38,18;31,82;34,55;30,30;28,57
48050;Izurtza;40,00;38,10;28,57;39,29;46,43;25,81;28,57;28,57;35,71
48022;Karrantza Harana/Valle de Carranza;50,00;38,64;34,55;40,00;31,82;31,82;19,70;10,61;16,36
48907;Kortezubi;57,14;57,14;50,00;46,43;40,00;28,57;35,71;14,29;14,29
01019;Kripan;40,00;54,55;45,45;45,45;54,55;8,33;18,18;28,57;0,00
01020;Kuartango;51,43;46,43;42,86;39,29;42,86;42,86;39,29;45,00;28,57
01028;Labastida/Bastida;52,78;48,89;50,00;35,56;37,78;29,63;24,07;24,07;14,29
01030;Lagrán;50,00;21,43;20,00;31,25;46,15;38,46;40,00;11,11;0,00
01031;Laguardia;37,78;37,78;28,89;25,00;29,63;13,89;20,00;11,11;14,81
01032;Lanciego/Lantziego;46,43;28,57;14,29;33,33;19,05;28,57;28,57;19,05;4,76
48051;Lanestosa;50,00;46,43;42,86;27,59;35,71;28,57;35,71;35,71;14,29
01902;Lantarón;46,43;39,29;39,29;38,10;34,29;12,50;22,86;14,29;10,71
01033;Lapuebla de Labarca;38,10;35,71;31,43;21,43;14,29;17,14;14,29;10,71;10,71
48052;Larrabetzu;50,00;47,73;36,36;41,67;42,22;41,67;44,44;29,63;27,78
20048;Larraul;33,33;42,86;21,43;23,81;10,00;50,00;20,00;20,00;20,00
20902;Lasarte-Oria;49,41;48,24;47,06;45,59;44,54;36,76;36,47;32,35;42,02
01036;Laudio/Llodio;50,98;47,06;45,88;47,06;46,08;38,82;33,33;32,65;23,81
48053;Laukiz;52,78;41,67;36,11;37,78;45,71;25,00;28,57;28,57;11,11
20049;Lazkao;46,15;48,72;46,15;50,00;44,23;23,08;25,45;23,64;24,62
20050;Leaburu;50,00;42,86;42,86;42,86;35,71;30,77;57,14;57,14;0,00
20051;Legazpi;52,31;49,23;46,15;46,15;44,87;35,85;31,25;38,46;21,28
20052;Legorreta;66,67;55,56;62,96;52,78;35,56;39,29;38,89;29,63;29,63
01058;Legutio;43,18;41,67;44,44;38,89;37,04;46,30;27,78;22,22;33,33
20068;Leintz-Gatzaga;80,00;20,00;20,00;21,43;42,86;30,00;42,86;20,00;20,00
48054;Leioa;46,67;46,03;49,40;47,62;46,03;31,43;35,71;34,01;35,71
48057;Lekeitio;50,00;50,00;48,08;46,15;50,77;33,85;47,44;34,62;32,31
48055;Lemoa;49,09;45,45;47,73;47,73;38,18;34,55;31,82;31,82;24,07
48056;Lemoiz;50,00;41,67;37,04;41,67;35,71;33,33;37,14;23,81;17,86
01034;Leza;55,56;40,00;66,67;41,67;28,57;0,00;33,33;33,33;21,43
48081;Lezama;43,18;47,73;43,18;45,45;36,36;36,36;47,27;27,27;22,22
20053;Lezo;46,15;48,08;46,15;47,44;43,59;33,96;33,33;33,33;20,00
20054;Lizartza;57,14;35,71;21,43;50,00;28,57;29,41;42,86;21,43;14,29
48903;Loiu;43,18;44,44;40,00;40,91;49,09;41,82;42,22;33,33;33,33
48058;Mallabia;41,67;42,86;40,74;36,11;44,44;44,44;33,33;33,33;27,78
48060;Markina-Xemein;48,08;43,18;45,45;47,27;41,82;20,00;31,82;29,09;34,55
48061;Maruri-Jatabe;47,22;42,86;42,86;28,57;48,57;38,10;28,57;19,05;11,11
48059;Mañaria;39,29;50,00;42,86;50,00;28,57;19,05;33,33;21,43;28,57
20901;Mendaro;44,44;44,12;41,67;36,11;36,11;44,44;29,63;28,89;33,33
48062;Mendata;57,14;42,86;57,14;52,38;42,86;23,81;23,81;14,29;14,29
48063;Mendexa;28,57;42,86;42,86;52,38;42,86;47,62;14,29;7,14;14,29
48064;Meñaka;33,33;47,62;42,86;46,43;37,14;23,81;9,52;23,81;29,17
01039;Moreda de Álava / Moreda Araba;35,71;33,33;42,86;31,58;25,00;39,29;23,81;32,14;28,57
48066;Morga;47,62;52,38;57,14;38,10;28,57;28,57;35,71;42,86;35,71
48068;Mundaka;50,00;44,44;38,89;38,89;48,89;37,78;37,78;44,44;35,90
48069;Mungia;48,04;46,08;45,88;45,38;49,02;31,76;37,86;30,39;19,05
48007;Munitibar-Arbatzegi Gerrikaitz-;35,71;42,86;35,71;47,62;28,57;28,57;28,57;35,71;19,05
48908;Murueta;42,86;52,38;42,86;42,86;42,86;26,67;10,00;20,00;20,00
