Indicadores municipales de sostenibilidad: Mujeres electas en elecciones municipales (% sobre total personas electas);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2019;2015;2011;2007;2003;1999;1995
48040;Gatika;33,33;44,44;44,44;33,33;44,44;44,44;11,11;0,00
48041;Gautegiz Arteaga;42,86;57,14;42,86;42,86;28,57;57,14;28,57;28,57
20907;Gaztelu;80,00;40,00;60,00;60,00;20,00;20,00;20,00;20,00
48046;Gernika-Lumo;41,18;41,18;52,94;41,18;41,18;23,53;41,18;23,53
20039;Getaria;54,55;54,55;45,45;36,36;45,45;45,45;45,45;45,45
48044;Getxo;52,00;56,00;44,00;40,00;36,00;24,00;28,00;24,00
48047;Gizaburuaga;40,00;60,00;60,00;20,00;40,00;40,00;20,00;20,00
48042;Gordexola;55,56;44,44;55,56;44,44;33,33;33,33;33,33;22,22
48043;Gorliz;46,15;46,15;61,54;53,85;53,85;27,27;36,36;9,09
48045;Güeñes;38,46;38,46;30,77;30,77;23,08;30,77;23,08;0,00
01056;Harana/Valle de Arana;20,00;20,00;0,00;14,29;42,86;14,29;28,57;14,29
20040;Hernani;47,62;57,14;41,18;35,29;47,06;11,76;23,53;29,41
20041;Hernialde;28,57;28,57;28,57;28,57;57,14;42,86;14,29;14,29
20036;Hondarribia;47,06;47,06;35,29;35,29;41,18;35,29;23,53;41,18
20042;Ibarra;36,36;36,36;45,45;54,55;45,45;18,18;36,36;27,27
48048;Ibarrangelu;42,86;42,86;42,86;14,29;57,14;42,86;28,57;14,29
20043;Idiazabal;45,45;36,36;27,27;36,36;18,18;9,09;9,09;18,18
48094;Igorre;45,45;54,55;45,45;45,45;36,36;36,36;27,27;9,09
20044;Ikaztegieta;42,86;28,57;42,86;42,86;42,86;28,57;28,57;14,29
20045;Irun;48,00;48,00;52,00;40,00;40,00;28,00;32,00;28,00
20046;Irura;55,56;66,67;55,56;44,44;0,00;57,14;28,57;28,57
01027;Iruraiz-Gauna;57,14;42,86;28,57;28,57;28,57;14,29;14,29;0,00
01901;Iruña Oka/Iruña de Oca;45,45;36,36;27,27;18,18;9,09;11,11;22,22;11,11
48049;Ispaster;42,86;42,86;42,86;42,86;28,57;28,57;28,57;14,29
20047;Itsasondo;57,14;57,14;42,86;42,86;28,57;28,57;14,29;42,86
48910;Iurreta;36,36;54,55;54,55;36,36;36,36;27,27;45,45;27,27
48050;Izurtza;40,00;57,14;57,14;42,86;28,57;14,29;14,29;42,86
48022;Karrantza Harana/Valle de Carranza;45,45;45,45;36,36;18,18;18,18;18,18;0,00;0,00
